,zillow_id,address,zipcode,latitude,longitude,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price,dist_to_public_trans
70,163651019.0,"7127 CALISTOGA LN, DUBLIN, CA",94568.0,37.734842900000004,-121.87338340000001,2300.0,1961.0,4.0,4.0,SingleFamily,2018.0,04/02/2018,934888.0,2.6084771251087235
71,2094682842.0,"7041 COOMBSVILLE LP, DUBLIN, CA",94568.0,37.7347703,-121.8731011,1637.0,,3.0,2.5,MultiFamily2To4,2017.0,,,2.6127907331130142
72,2094682775.0,"7045 COOMBSVILLE LP, DUBLIN, CA",94568.0,37.7347939,-121.8730264,,,2.0,2.5,Townhouse,2017.0,,,2.6164077135403474
73,2094682775.0,"7065 COOMBSVILLE LP, DUBLIN, CA",94568.0,37.7350935,-121.8731956,,,2.0,2.5,Townhouse,2017.0,,,2.628572082710149
74,2094682842.0,"7057 COOMBSVILLE LP, DUBLIN, CA",94568.0,37.734984999999995,-121.8731473,1637.0,,3.0,2.5,MultiFamily2To4,2017.0,,,2.6237606251968137
75,2094682775.0,"7055 COOMBSVILLE LP, DUBLIN, CA",94568.0,37.7349333,-121.87308940000001,,,2.0,2.5,Townhouse,2017.0,,,2.6225241732296167
76,2089715632.0,"3996 WINDSOR WY, DUBLIN, CA",94568.0,37.7352664,-121.87276580000001,1962.0,,3.0,4.0,Condominium,2017.0,06/18/2018,855000.0,2.651460138294
77,2093336407.0,"3962 WINDSOR WY, DUBLIN, CA",94568.0,37.7352795,-121.8722855,2160.0,,4.0,4.0,Condominium,2017.0,,,2.666793220187333
78,2094223863.0,"3968 WINDSOR WY, DUBLIN, CA",94568.0,37.7353973,-121.8722868,1962.0,,3.0,3.5,Townhouse,2017.0,,,2.6735014822295167
79,2093573012.0,"3966 WINDSOR WY, DUBLIN, CA",94568.0,37.7353377,-121.87228490000001,1962.0,,3.0,3.5,MultiFamily2To4,2017.0,10/02/2017,797970.0,2.6701443987688145
80,2094615521.0,"3958 WINDSOR WY, DUBLIN, CA",94568.0,37.73528560000001,-121.8720686,2160.0,,4.0,3.5,Townhouse,2017.0,,,2.673784196786172
81,241576236.0,"4211 PANORAMA DR, DUBLIN, CA",94550.0,37.711093,-121.8438278,,2623.0,0.0,,SingleFamily,,,,
82,241576237.0,"4233 PANORAMA DR, DUBLIN, CA",94550.0,37.71118120000001,-121.8438278,,2543.0,0.0,,SingleFamily,,,,
83,241576238.0,"4251 PANORAMA DR, DUBLIN, CA",94550.0,37.7112671,-121.843824,,2543.0,0.0,,SingleFamily,,,,
84,241576239.0,"4273 PANORAMA DR, DUBLIN, CA",94550.0,37.7113615,-121.8438221,,2692.0,0.0,,SingleFamily,,,,
85,241576142.0,"4281 PANORAMA DR, DUBLIN, CA",94550.0,37.711635799999996,-121.84385590000001,,2625.0,0.0,,SingleFamily,,12/13/2017,903500.0,
86,241576134.0,"4327 PANORAMA DR, DUBLIN, CA",94550.0,37.7123341,-121.84357140000002,2046.0,2188.0,0.0,4.0,SingleFamily,2017.0,12/29/2017,884000.0,
87,241576152.0,"2138 DONNELLS LN, DUBLIN, CA",94550.0,37.71236470000001,-121.8431875,,2388.0,0.0,,SingleFamily,,04/11/2018,918500.0,
88,241576151.0,"2150 DONNELLS LN, DUBLIN, CA",94550.0,37.7122969,-121.8432733,,2378.0,0.0,,SingleFamily,,04/10/2018,946000.0,
89,241576150.0,"2156 DONNELLS LN, DUBLIN, CA",94550.0,37.7122292,-121.84335759999999,,2365.0,0.0,,SingleFamily,,02/27/2018,889000.0,
90,241576149.0,"2162 DONNELLS LN, DUBLIN, CA",94550.0,37.7121581,-121.84342679999999,,2348.0,0.0,,SingleFamily,,01/31/2018,892500.0,
91,241576148.0,"2168 DONNELLS LN, DUBLIN, CA",94550.0,37.7120752,-121.8434824,,2317.0,0.0,,SingleFamily,,04/19/2018,886500.0,
92,241576147.0,"2176 DONNELLS LN, DUBLIN, CA",94550.0,37.7119229,-121.8435636,,2375.0,0.0,,SingleFamily,,12/29/2017,894000.0,
93,241576145.0,"2180 DONNELLS LN, DUBLIN, CA",94550.0,37.7118271,-121.84359939999999,,2293.0,0.0,,SingleFamily,,12/19/2017,895000.0,
94,241576164.0,"2153 DONNELLS LN, DUBLIN, CA",94550.0,37.712082099999996,-121.8429564,,2145.0,0.0,,SingleFamily,,,,
95,241576249.0,"2046 CONFIDENCE WY, DUBLIN, CA",94550.0,37.7113489,-121.84308929999999,,2294.0,0.0,,SingleFamily,,,,
96,241576248.0,"2050 CONFIDENCE WY, DUBLIN, CA",94550.0,37.711353499999994,-121.84331090000002,,2294.0,0.0,,SingleFamily,,,,
97,241576247.0,"2052 CONFIDENCE WY, DUBLIN, CA",94550.0,37.71126339999999,-121.8433146,,1984.0,0.0,,SingleFamily,,,,
98,241576246.0,"2058 CONFIDENCE WY, DUBLIN, CA",94550.0,37.71117329999999,-121.8433112,,1984.0,0.0,,SingleFamily,,,,
99,241576245.0,"2062 CONFIDENCE WY, DUBLIN, CA",94550.0,37.711087400000004,-121.8433115,,2046.0,0.0,,SingleFamily,,,,
100,241576244.0,"2068 CONFIDENCE WY, DUBLIN, CA",94550.0,37.7110885,-121.8435942,,2046.0,0.0,,SingleFamily,,,,
101,241576242.0,"2070 CONFIDENCE WY, DUBLIN, CA",94550.0,37.711178600000004,-121.84359939999999,,1984.0,0.0,,SingleFamily,,,,
102,241576263.0,"4159 LOYALTON RD, DUBLIN, CA",94550.0,37.7111774,-121.8420688,,1984.0,0.0,,SingleFamily,,,,
103,241576106.0,"4229 LOYALTON RD, DUBLIN, CA",94550.0,37.712031599999996,-121.8421791,,2294.0,0.0,,SingleFamily,,,,
104,241576114.0,"4251 LOYALTON RD, DUBLIN, CA",94550.0,37.7121948,-121.842173,,2294.0,0.0,,SingleFamily,,,,
105,241576112.0,"4255 LOYALTON RD, DUBLIN, CA",94550.0,37.712199,-121.84205779999999,,1984.0,0.0,,SingleFamily,,,,
106,241576111.0,"4259 LOYALTON RD, DUBLIN, CA",94550.0,37.7121973,-121.84195159999999,,1984.0,0.0,,SingleFamily,,,,
107,241576110.0,"4263 LOYALTON RD, DUBLIN, CA",94550.0,37.712194399999994,-121.8418308,,2046.0,0.0,,SingleFamily,,,,
108,241576118.0,"4267 LOYALTON RD, DUBLIN, CA",94550.0,37.7124204,-121.8418331,,2046.0,0.0,,SingleFamily,,,,
109,241576117.0,"4271 LOYALTON RD, DUBLIN, CA",94550.0,37.7124205,-121.84194479999998,,1984.0,0.0,,SingleFamily,,,,
110,241576173.0,"4210 LOYALTON RD, DUBLIN, CA",94550.0,37.7119081,-121.84287309999999,,2457.0,0.0,,SingleFamily,,,,
111,241576174.0,"4216 LOYALTON RD, DUBLIN, CA",94550.0,37.7119749,-121.8427663,,2455.0,0.0,,SingleFamily,,,,
112,2092498233.0,"4226 MIDLANDS CT, DUBLIN, CA",94568.0,37.7081901,-121.8567996,2097.0,,4.0,3.5,Condominium,2017.0,,,2.3609464416570534
113,241576340.0,"4210 MIDLANDS CT, DUBLIN, CA",94568.0,37.7079614,-121.85644579999999,,3486.0,0.0,,SingleFamily,,08/30/2017,1040000.0,2.377889445858213
114,2092273832.0,"4212 MIDLANDS CT, DUBLIN, CA",94568.0,37.7079682,-121.85652379999999,2175.0,,4.0,3.5,Townhouse,2017.0,,,2.3737220329739497
115,2091980710.0,"4216 MIDLANDS CT, DUBLIN, CA",94568.0,37.70798189999999,-121.85659409999998,1949.0,,3.0,3.5,Condominium,2017.0,,,2.37003924284918
116,2092762942.0,"4218 MIDLANDS CT, DUBLIN, CA",94568.0,37.707993200000004,-121.85666540000001,1949.0,,3.0,3.5,Condominium,2017.0,11/17/2017,802000.0,2.366279921416796
117,2091958214.0,"4220 MIDLANDS CT, DUBLIN, CA",94568.0,37.7080077,-121.85673190000001,1949.0,,3.0,4.0,SingleFamily,,11/16/2017,800000.0,2.3628127761916278
118,2092273832.0,"4222 MIDLANDS CT, DUBLIN, CA",94568.0,37.7080175,-121.85680990000002,2175.0,,4.0,3.5,Townhouse,2017.0,,,2.3586769919944577
119,2090532026.0,"3924 SCOTTSFIELD ST, DUBLIN, CA",94568.0,37.7053718,-121.8569743,2165.0,,4.0,3.5,SingleFamily,,,,2.3308918444994435
120,2090215056.0,"3926 SCOTTSFIELD ST, DUBLIN, CA",94568.0,37.7053618,-121.857049,2254.0,,4.0,3.5,SingleFamily,,,,2.3267627182965818
121,2089402067.0,"4030 SCOTTSFIELD ST, DUBLIN, CA",94568.0,37.7065914,-121.85706950000001,2097.0,,4.0,3.5,Townhouse,,,,2.332649921258179
122,241576406.0,"2831 STRINGHAM WY, DUBLIN, CA",94568.0,37.7065361,-121.8549077,,2010.0,0.0,,SingleFamily,,07/31/2017,883000.0,2.4501666263423787
123,241576347.0,"2998 STRINGHAM WY, DUBLIN, CA",94568.0,37.7051736,-121.8563564,1996.0,2295.0,0.0,3.5,SingleFamily,,12/20/2017,886000.0,2.363847194104081
124,241576349.0,"2996 STRINGHAM WY, DUBLIN, CA",94568.0,37.7052535,-121.8563708,2298.0,2025.0,0.0,4.0,SingleFamily,2017.0,01/17/2018,913000.0,2.3633855615575654
125,241576350.0,"2992 STRINGHAM WY, DUBLIN, CA",94568.0,37.7053563,-121.85638859999999,2076.0,3033.0,0.0,3.5,SingleFamily,,12/13/2017,898000.0,2.362850546696845
126,241574458.0,"2833 STRINGHAM WY, DUBLIN, CA",94568.0,37.7064715,-121.854859,,2010.0,0.0,,Condominium,,04/28/2017,840500.0,2.4524075872604967
127,241574459.0,"2835 STRINGHAM WY, DUBLIN, CA",94568.0,37.706405600000004,-121.85481170000001,,2010.0,0.0,,Condominium,,04/27/2017,850000.0,2.4545729871169693
128,241576407.0,"2837 STRINGHAM WY, DUBLIN, CA",94568.0,37.70632970000001,-121.8547483,,2010.0,0.0,,SingleFamily,,,,2.4575654079203826
129,241574460.0,"2839 STRINGHAM WY, DUBLIN, CA",94568.0,37.7062594,-121.85468459999998,,2680.0,0.0,,Condominium,,04/14/2017,881500.0,2.4606198480706603
130,241576294.0,"2987 STRINGHAM WY, DUBLIN, CA",94568.0,37.7056451,-121.85622620000001,1764.0,2535.0,0.0,2.5,SingleFamily,2017.0,11/28/2017,902000.0,2.3730716023661933
131,241576392.0,"4050 BOTHRIN ST, DUBLIN, CA",94568.0,37.706858200000006,-121.8546635,,2010.0,0.0,,SingleFamily,,02/16/2017,847000.0,2.4656701669970182
132,241576393.0,"4036 BOTHRIN ST, DUBLIN, CA",94568.0,37.706795899999996,-121.8546071,,2010.0,0.0,,SingleFamily,,03/10/2017,885000.0,2.4683071662093807
133,241574453.0,"4030 BOTHRIN ST, DUBLIN, CA",94568.0,37.706720399999995,-121.8545385,2000.0,2010.0,3.0,4.0,SingleFamily,2016.0,02/22/2017,844000.0,2.4715279496972093
134,241576394.0,"4018 BOTHRIN ST, DUBLIN, CA",94568.0,37.7066618,-121.8544919,,2010.0,0.0,,SingleFamily,,02/24/2017,868000.0,2.47367403395744
135,241576395.0,"4012 BOTHRIN ST, DUBLIN, CA",94568.0,37.7066016,-121.8544187,,2010.0,0.0,,SingleFamily,,02/28/2017,849000.0,2.4772678882366583
136,241574454.0,"4000 BOTHRIN ST, DUBLIN, CA",94568.0,37.706518700000004,-121.8543308,,3824.0,0.0,,Condominium,,03/17/2017,888000.0,2.481526461687725
137,241576351.0,"2988 STRINGHAM WY, DUBLIN, CA",94568.0,37.705386600000004,-121.8561428,2330.0,2330.0,4.0,4.0,SingleFamily,2017.0,11/30/2017,918000.0,2.376424605118091
138,241576360.0,"2958 STRINGHAM WY, DUBLIN, CA",94568.0,37.7052919,-121.8556268,,2571.0,0.0,,SingleFamily,,11/03/2017,865500.0,2.404238013388392
139,241576361.0,"2956 STRINGHAM WY, DUBLIN, CA",94568.0,37.7053933,-121.8553622,1996.0,2647.0,0.0,3.5,SingleFamily,,10/18/2017,863500.0,2.4191402029599294
140,241576362.0,"2952 STRINGHAM WY, DUBLIN, CA",94568.0,37.70546829999999,-121.8554125,2298.0,2219.0,0.0,4.0,SingleFamily,,10/31/2017,880000.0,2.4167208666990296
141,241576383.0,"2808 STRINGHAM WY, DUBLIN, CA",94568.0,37.7062089,-121.85430249999999,,2176.0,0.0,,SingleFamily,,07/28/2017,840500.0,2.481184311945626
142,241574438.0,"2800 STRINGHAM WY, DUBLIN, CA",94568.0,37.7062945,-121.854124,,2299.0,0.0,,Condominium,,06/21/2017,892000.0,2.4914314565866067
143,241574439.0,"2806 STRINGHAM WY, DUBLIN, CA",94568.0,37.7062005,-121.8540402,2170.0,3849.0,3.0,4.0,SingleFamily,2017.0,06/23/2017,863000.0,2.495457837191956
144,241574461.0,"4003 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.7061766,-121.85487450000001,,3886.0,0.0,,Condominium,,05/19/2017,905000.0,2.4497660717585514
145,241574462.0,"4011 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.7062804,-121.85496640000001,,2010.0,0.0,,Condominium,,05/24/2017,847500.0,2.445362724597274
146,241576304.0,"4016 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.7061501,-121.8553091,,3185.0,0.0,,SingleFamily,,12/13/2017,1064000.0,2.425883454292895
147,241576305.0,"4022 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.70630360000001,-121.85543799999999,2144.0,3354.0,0.0,3.0,SingleFamily,,01/10/2018,1043500.0,2.419763364031512
148,241576338.0,"4038 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.7064545,-121.8555848,,3097.0,0.0,,SingleFamily,,08/31/2017,1015000.0,2.4127016191304334
149,241576335.0,"4058 KNIGHTSTOWN ST, DUBLIN, CA",94568.0,37.7067367,-121.8557219,1764.0,2794.0,0.0,2.5,SingleFamily,,08/25/2017,927000.0,2.4071243497408545
150,241576313.0,"3985 SCOTTFIELD ST, DUBLIN, CA",94568.0,37.7061799,-121.856453,2114.0,4034.0,4.0,3.0,SingleFamily,2018.0,03/28/2018,1019000.0,2.3636125341977765
151,241576314.0,"4015 SCOTTFIELD ST, DUBLIN, CA",94568.0,37.706323,-121.8564466,1764.0,2565.0,0.0,2.5,SingleFamily,,04/04/2018,999000.0,2.3648443694839294
